               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.032399,           0.0076196,           0.0090261,             0.68428,             0.30853,             0.29802,             0.15031,            0.036351,           0.0084359,            0.012439,           0.0068906,           0.0068906,           0.0068906
                  82,            0.034314,            0.007389,           0.0096213,             0.60828,             0.30083,             0.28656,             0.14483,            0.033886,            0.008348,            0.012235,           0.0068232,           0.0068232,           0.0068232
                  83,            0.032669,           0.0074864,            0.010384,              0.6734,             0.32696,             0.31049,               0.165,            0.033524,           0.0080896,            0.012598,           0.0067555,           0.0067555,           0.0067555
                  84,              0.0318,           0.0075516,            0.010344,             0.70434,             0.31381,             0.31521,             0.16444,             0.03511,           0.0081602,            0.012501,           0.0066874,           0.0066874,           0.0066874
                  85,            0.031973,           0.0072172,           0.0095693,             0.65895,               0.336,             0.32746,             0.16414,            0.033842,           0.0082552,            0.011848,           0.0066191,           0.0066191,           0.0066191
                  86,            0.030732,           0.0072132,           0.0087113,             0.64997,              0.3408,             0.31067,             0.16178,            0.033251,           0.0084011,            0.011009,           0.0065505,           0.0065505,           0.0065505
                  87,            0.031422,           0.0075741,           0.0091591,             0.73978,             0.31686,             0.32213,             0.17078,            0.032764,           0.0083659,            0.011514,           0.0064816,           0.0064816,           0.0064816
                  88,            0.031554,           0.0073571,            0.010257,             0.78085,             0.29526,              0.3147,             0.16502,             0.03388,           0.0083157,            0.011796,           0.0064125,           0.0064125,           0.0064125
                  89,            0.032671,           0.0073029,           0.0091107,             0.69431,             0.32082,             0.32165,             0.16081,            0.033803,           0.0082649,            0.010221,           0.0063432,           0.0063432,           0.0063432
                  90,             0.03147,           0.0075515,           0.0086357,              0.6927,             0.34417,             0.32263,             0.16734,            0.031555,           0.0081815,            0.010647,           0.0062737,           0.0062737,           0.0062737
                  91,            0.032302,           0.0075645,           0.0092351,             0.72813,             0.30554,             0.31531,             0.16881,            0.034037,           0.0081948,            0.012063,            0.006204,            0.006204,            0.006204
                  92,            0.031036,           0.0071538,            0.010181,             0.72288,             0.30237,             0.31561,             0.16487,            0.032731,           0.0082085,            0.011423,           0.0061341,           0.0061341,           0.0061341
                  93,            0.031923,           0.0072681,           0.0087571,             0.73045,             0.34154,             0.33197,             0.16804,            0.031793,           0.0080782,            0.010436,            0.006064,            0.006064,            0.006064
                  94,            0.031487,           0.0071584,            0.008472,             0.72145,             0.33592,             0.32901,             0.17399,             0.03357,           0.0081697,            0.012742,           0.0059938,           0.0059938,           0.0059938
                  95,            0.030191,           0.0074331,           0.0087027,             0.66832,             0.33033,             0.30733,             0.15978,            0.034205,           0.0083019,            0.011044,           0.0059235,           0.0059235,           0.0059235
                  96,            0.030762,           0.0070837,           0.0088413,             0.68477,             0.32975,             0.32037,             0.16707,            0.032022,           0.0081573,            0.010585,           0.0058531,           0.0058531,           0.0058531
                  97,            0.030389,           0.0072273,           0.0082045,             0.73048,             0.32792,             0.33674,             0.17263,            0.032179,            0.008153,           0.0099546,           0.0057826,           0.0057826,           0.0057826
                  98,            0.029451,            0.007429,           0.0078244,             0.65272,             0.35426,             0.32966,               0.169,              0.0321,           0.0080591,            0.010121,            0.005712,            0.005712,            0.005712
                  99,            0.030976,           0.0071883,           0.0088012,             0.64688,             0.35805,              0.3257,             0.16795,            0.031927,           0.0081171,            0.011317,           0.0056413,           0.0056413,           0.0056413
                 100,            0.029943,           0.0073411,           0.0085246,             0.66697,             0.36071,             0.33019,             0.17656,            0.031134,           0.0081732,            0.011157,           0.0055707,           0.0055707,           0.0055707
                 101,            0.029878,           0.0074226,           0.0081445,             0.71005,             0.33531,             0.32717,             0.17323,            0.033047,           0.0080949,             0.01089,              0.0055,              0.0055,              0.0055
                 102,            0.028967,           0.0073027,              0.0072,              0.7708,             0.33889,             0.35714,             0.19457,            0.031202,           0.0080252,             0.01185,           0.0054293,           0.0054293,           0.0054293
                 103,            0.030292,           0.0073947,           0.0083281,             0.70588,             0.34613,             0.33557,             0.18656,            0.030775,           0.0079505,            0.010675,           0.0053587,           0.0053587,           0.0053587
                 104,            0.029981,           0.0071501,           0.0091921,             0.68083,             0.34721,             0.33116,             0.18156,            0.031046,           0.0079252,            0.011391,            0.005288,            0.005288,            0.005288
                 105,             0.02876,           0.0069906,           0.0078173,             0.76149,             0.36276,             0.35256,             0.19522,            0.030299,           0.0079701,             0.01152,           0.0052174,           0.0052174,           0.0052174
                 106,            0.029192,           0.0068972,           0.0084655,             0.74268,             0.33334,             0.35129,             0.18942,            0.030956,           0.0078817,            0.011143,           0.0051469,           0.0051469,           0.0051469
                 107,            0.029971,           0.0072613,           0.0089097,             0.70889,             0.36251,             0.34734,             0.18695,            0.031661,           0.0078995,            0.011137,           0.0050765,           0.0050765,           0.0050765
                 108,            0.028325,           0.0068908,           0.0079622,             0.70821,             0.34525,             0.34473,             0.17814,            0.031462,           0.0080225,            0.011153,           0.0050062,           0.0050062,           0.0050062
                 109,            0.027485,           0.0075083,           0.0069935,             0.75656,             0.35042,             0.35433,             0.19123,            0.030894,           0.0078662,            0.012076,            0.004936,            0.004936,            0.004936
